"","CustomerID","Region","TownSize","Gender","Age","EducationYears","JobCategory","UnionMember","EmploymentLength","Retired","HHIncome","DebtToIncomeRatio","CreditDebt","OtherDebt","LoanDefault","MaritalStatus","HouseholdSize","NumberPets","NumberCats","NumberDogs","NumberBirds","HomeOwner","CarsOwned","CarOwnership","CarBrand","CarValue","CommuteTime","PoliticalPartyMem","Votes","CreditCard","CardTenure","CardItemsMonthly","CardSpendMonth","ActiveLifestyle","PhoneCoTenure","VoiceLastMonth","VoiceOverTenure","EquipmentRental","EquipmentLastMonth","EquipmentOverTenure","CallingCard","WirelessData","DataLastMonth","DataOverTenure","Multiline","VM","Pager","Internet","CallerID","CallWait","CallForward","ThreeWayCalling","EBilling","TVWatchingHours","OwnsPC","OwnsMobileDevice","OwnsGameSystem","OwnsFax","NewsSubscriber","HHIncome_2","CarValue_2","CardSpendMonth_2","VoiceLastMonth_2","VoiceOverTenure_2","EquipmentLastMonth_2","EquipmentOverTenure_2","DataLastMonth_2","DataOverTenure_2","TotalDebt","TotalLastMonth","TotalTenure","TotalDebtLog","TotalLastMonthLog","TotalTenureLog","HHIncome_2Log","CarValue_2Log","CardSpendMonth_2Log","VoiceLastMonth_2Log","VoiceOverTenure_2Log","CreditDebtLog","OtherDebtLog","EmploymentLengthLog","DebtToIncomeRatioLog","CardTenureLog","EquipmentLastMonth_2Log","EquipmentOverTenure_2Log","DataLastMonth_2Log","DataOverTenure_2Log"
"1","3964-QJWTRG-NPN",1,2,0,20,15,3,1,0,0,"$ 31,000.00",11.1,1.200909,2.240091,1,1,3,0,0,0,0,0,2,1,0,"$ 14,300.00",22,1,1,2,2,5,"$ 816.60",0,5,"$ 19.50","$ 34.40",1,"$ 29.50","$ 126.10",1,0,"$ -","$ -",1,1,1,0,0,1,1,1,0,13,0,1,1,0,0,31000,14300,816,19,34,29,126,36,1270,3.441,84,1430,1.23576212681534,4.43081679884331,7.26542972325395,10.3417424834673,9.568014816248,6.70441435496411,2.94443897916644,3.52636052461616,0.183078770035633,0.806516490041776,-Inf,2.40694510831829,0.693147180559945,3.36729582998647,4.83628190695148,3.58351893845611,7.14677217945264
"2","0648-AIPJSP-UVM",5,5,1,22,17,4,0,0,0,"$ 15,000.00",18.6,1.22202,1.56798,1,1,2,6,0,0,0,1,2,1,1,"$ 6,800.00",29,1,0,4,4,5,"$ 426.00",1,39,"$ 26.70","$ 330.60",1,"$ 54.85","$ 1,975.00",1,1,"$ 45.65","$ 1,683.55",1,1,1,4,1,0,1,0,1,18,1,1,1,1,1,15000,6800,426,26,330,54,1975,45,1683,2.79,125,3988,1.02604159583327,4.8283137373023,8.29104513108173,9.61580548008435,8.8246778911642,6.05443934626937,3.25809653802148,5.79909265446053,0.200505227227583,0.449788166744828,-Inf,2.92316158071916,1.38629436111989,3.98898404656427,7.58832367733522,3.80666248977032,7.42833319419081
"3","5195-TLUDJE-HVO",3,4,0,67,14,4,0,16,0,"$ 35,000.00",9.9,0.92862,2.53638,0,0,3,3,2,1,0,1,3,1,1,"$ 18,800.00",24,1,0,4,35,9,"$ 1,842.20",0,65,"$ 85.20","$ 1,858.35",0,"$ -","$ -",1,0,"$ -","$ -",1,0,0,0,0,0,0,0,0,21,0,0,0,0,1,35000,18800,1842,85,1858,36,1153,36,1270,3.465,157,4281,1.24271263264187,5.05624580534831,8.36194190614495,10.4631033404715,9.84161214881804,7.51860721681525,4.44265125649032,7.52725591937378,-0.0740556658294138,0.930737867621041,2.77258872223978,2.29253475714054,3.55534806148941,3.58351893845611,7.05012252026906,3.58351893845611,7.14677217945264
"4","4459-VLPQUH-3OL",4,3,1,23,16,4,0,0,0,"$ 20,000.00",5.7,0.0228,1.1172,1,0,5,0,0,0,0,1,3,1,1,"$ 8,700.00",38,0,0,4,5,17,"$ 3,409.90",1,36,"$ 18.00","$ 199.45",0,"$ -","$ -",1,0,"$ -","$ -",1,0,0,2,0,0,0,0,1,26,1,1,1,0,1,20000,8700,3409,18,199,36,1153,36,1270,1.14,90,2622,0.131028262406404,4.49980967033027,7.87169266432365,9.90348755253613,9.07107830464268,8.1341742721379,2.89037175789616,5.29330482472449,-3.78099474302174,0.110825555088885,-Inf,1.7404661748405,1.6094379124341,3.58351893845611,7.05012252026906,3.58351893845611,7.14677217945264
"5","8158-SMTQFB-CNO",2,2,1,26,16,4,0,1,0,"$ 23,000.00",1.7,0.214659,0.176341,0,0,4,0,0,0,0,0,1,0,1,"$ 10,600.00",32,0,0,1,8,8,"$ 2,551.00",1,21,"$ 9.15","$ 74.10",0,"$ -","$ -",1,1,"$ 19.05","$ 410.80",0,1,0,3,1,1,1,1,0,27,1,0,1,0,0,23000,10600,2551,9,74,36,1153,19,410,0.391,64,1637,-0.939047718996771,4.15888308335967,7.40062057737113,10.0432494949113,9.26860928010016,7.84424071814181,2.19722457733622,4.30406509320417,-1.53870455646938,-1.73533565847623,0,0.53062825106217,2.07944154167984,3.58351893845611,7.05012252026906,2.94443897916644,6.01615715969835
"6","9662-FUSYIM-1IV",4,4,1,64,17,5,0,22,0,"$ 107,000.00",5.6,1.060584,4.931416,0,1,1,11,1,1,0,1,0,-1,-1,"$ (1,000.00)",23,0,0,4,18,11,"$ 2,282.70",0,28,"$ 24.30","$ 264.90",1,"$ 35.50","$ 970.95",1,0,"$ -","$ -",0,0,1,0,1,1,1,1,0,21,0,0,0,0,0,107000,18800,2282,24,264,35,970,36,1270,5.992,95,2504,1.79042524621492,4.55387689160054,7.82564473221999,11.580584113444,9.84161214881804,7.73280753042202,3.17805383034795,5.57594910314632,0.0588196998066104,1.59562616790985,3.09104245335832,1.7227665977411,2.89037175789616,3.55534806148941,6.87729607149743,3.58351893845611,7.14677217945264
"7","7432-QKQFJJ-K72",2,5,0,52,14,3,0,10,0,"$ 77,000.00",1.9,0.501809,0.961191,0,1,1,2,0,2,0,0,2,1,0,"$ 25,600.00",32,0,0,3,3,20,"$ 8,223.20",0,15,"$ 11.40","$ 44.80",0,"$ -","$ -",0,0,"$ -","$ -",0,0,0,1,0,0,1,0,0,19,1,1,0,0,0,77000,25600,8223,11,44,36,1153,36,1270,1.463,83,2467,0.380489122037987,4.4188406077966,7.81075811652936,11.2515607008358,10.1503476304677,9.0146903849709,2.39789527279837,3.78418963391826,-0.68953570977821,-0.0395821384595393,2.30258509299405,0.641853886172395,1.09861228866811,3.58351893845611,7.05012252026906,3.58351893845611,7.14677217945264
"8","8959-RZWRHU-ST8",3,4,0,44,16,3,0,11,0,"$ 97,000.00",14.4,5.950368,8.017632,0,0,2,10,0,2,0,1,1,1,0,"$ 55,500.00",31,0,1,0,25,6,"$ 5,927.00",0,46,"$ 44.55","$ 612.70",0,"$ -","$ -",1,0,"$ -","$ -",1,0,0,0,1,1,1,1,0,13,0,0,0,0,1,97000,55500,5927,44,612,36,1153,36,1270,13.968,116,3035,2.63676899909725,4.75359019110636,8.0179667034936,11.4824662574855,10.9241382997345,8.68727346178784,3.78418963391826,6.41673228251233,1.78345306638448,2.08164311643468,2.39789527279837,2.66722820658195,3.2188758248682,3.58351893845611,7.05012252026906,3.58351893845611,7.14677217945264
"9","9124-DZALHM-S6I",2,3,0,66,12,3,0,15,1,"$ 16,000.00",2.6,0.102336,0.313664,0,1,1,1,1,0,0,1,1,1,1,"$ 8,600.00",25,1,1,2,26,12,"$ 3,265.90",1,53,"$ 63.15","$ 1,074.35",0,"$ -","$ -",1,0,"$ -","$ -",1,0,0,0,0,0,0,0,0,25,0,0,0,0,0,16000,8600,3265,63,1074,36,1153,36,1270,0.416,135,3497,-0.877070018720874,4.90527477843843,8.15966073706338,9.68034400122192,9.0595174822416,8.09101504171053,4.14313472639153,6.97914527506881,-2.27949376177065,-1.15943292969505,2.70805020110221,0.955511445027436,3.25809653802148,3.58351893845611,7.05012252026906,3.58351893845611,7.14677217945264
"10","3512-MUWBGY-52X",2,2,1,47,11,2,0,19,0,"$ 84,000.00",4.1,1.770216,1.673784,0,1,2,1,1,0,0,1,4,1,0,"$ 41,000.00",29,1,1,3,2,11,"$ 1,996.40",1,3,"$ 10.95","$ 20.05",0,"$ -","$ -",0,0,"$ -","$ -",0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,84000,41000,1996,10,20,36,1153,36,1270,3.444,82,2443,1.23663358656548,4.40671924726425,7.80098207125774,11.3385720778255,10.6213273456864,7.59890045687141,2.30258509299405,2.99573227355399,0.571101573038512,0.515086931483841,2.94443897916644,1.41098697371026,0.693147180559945,3.58351893845611,7.05012252026906,3.58351893845611,7.14677217945264
